OBJECTID,NAME,TYPE,ACRES,CHARACTERI,LINKDATA,SOURCE,Shape__Area,Shape__Length
1,EXCHANGE PARK/ VETERAN'S PARK,City/Parish,5.26011479,"Veteran's wall naming all deceased Acadiana veterans having served in Vietnam, natural wildlife, covered picnic areas with grills, restrooms, playground, fishing pond, commermorative markers.", , ,1.54363357e-06,0.005012367145389
2,PICARD PARK, ,25.17224722,"Tennis courts, soccer fields, ball parks, lighted fields, t-ball field, jogging trail, covered picnic areas, playground", , ,9.471966116e-06,0.014132216376911
3,PARC PUTNAM, ,0,"Located at 201 E. Vermillion St. it includes a gazebo, grassy areas and a large fountain, which is a favorite among park goers, THis park is used for concerts, races, weddings and more.", , ,2.97562899e-07,0.002318437180148
4,DERBY PLAYGROUND, ,0,"Playground, basketball", , ,2.4479094e-07,0.002020860258069
5,ARCENEAUX PARK,City/Parish,29.2813486,"Tennis courts, soccer fields, basketball courts, lighted ball fields, batting cages, t-ball, covered picnic areas, playground", , ,1.1021342833e-05,0.0151626982286
6,GRAHAM BROWN MEMORIAL PARK,City/Parish,49.29288503,"George Dupuis Recreation Center, work-out station, jogging trail, batting practice areas, lighted tennis courts, covered", , ,1.8575268167e-05,0.020167184897321
7,J. Otto Broussard Memorial Park (Southside Regional Park),City/Parish,223.62851135,"Fabacher Field Baseball Complex, pond, Les Vieux Chenes 18-hole golf course, clubhouse and pro shop, cart rentals, driving range", , ,8.4166661421e-05,0.048876727165915
8,J W JAMES PARK,City/Parish,3.88043449,"Fabacher Field Baseball Complex, pond, Les Vieux Chenes 18-hole golf course, clubhouse and pro shop, cart rentals, driving range", , ,1.461820219e-06,0.004898932561773
9,DORSEY/DONLON PARK,City/Parish,7.13261036,"MLK Recreation Center, outdoor pool, tennis courts, basketball courts, ball parks, jogging trail, covered picnic areas with grills, playground", , ,2.687294749e-06,0.006942471583592
10,MOUTON PARK,City/Parish,5.98817606,"Open play area, tennis courts, basketball courts, covered picnic areas with grills, playground", , ,2.255979397e-06,0.006010497918897
11,JUDICE PARK, ,22.97938922,"Open play area, basketball courts, backstop ball diamond, covered picnic areas with grills, playground", , ,8.650499301e-06,0.012073638602699
12,DUSON PARK, ,27.83233964,"Covered pavilion with lights & benches, open play area, ball parks w/ lighted fields, t-ball, covered picnic areas with grills, playground", , ,1.0483849284e-05,0.013016296056007
13,FOSTER MEMORIAL PARK,City/Parish,14.37877197,"Open play area, tennis courts, soccer fields, basketball courts, lighted ball fields, batting cages, walking track, covered picnic areas, playground, historic markers", , ,5.409244884e-06,0.011565438805377
14,ST ANTHONY PARK,City/Parish,1.74718301,"Basketball courts, covered picnic areas with grills, playground", , ,6.58226736e-07,0.003345965505202
15,ACADIANA PARK,City/Parish,116.97746698,"Open play, lighted tennis courts, basketball court, baseball field, picnic areas, playground, campground, trails, nature station, historic interpretation", , ,4.4076951581e-05,0.028100913028484
16,BEAULLIEU PARK,City/Parish,30.02483597,"Comeaux Recreation Center, soccer fields, ball fields, batting cages, trails, covered picnic areas, playground", , ,1.1301881779e-05,0.015885878993451
