X,Y,OBJECTID,ID,NAME,ADDRESS,ARCH_TYPE,CONST_DATE,PHOTOS,SDE_PHOTOS,NUM_ON_REGISTER,DESIGNATION_DATE
-92.019016461642394,30.151528474605886,1,1051,WHITFIELD HOUSE,305 FAILLA RD,FRENCH CREOLE,CIRCA 1910,WHITFIELD_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/051-Whitfield.jpg,51,2000-06-07T00:00:00.000Z
-92.020006188296037,30.223882567314305,2,1052,POCHÉ BUILDING,203 W VERMILION ST,COMMERCIAL VERNACULAR,1920,POCHE_BUILDING,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/052-PocheBuilding.jpg,52,2000-06-27T00:00:00.000Z
-92.025452280577397,30.225000469797891,3,1050,GRÖHEIM,204 VERSAILLES BLVD,NORMANDY REVIVAL,1927,GROHEIM,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/050-Groheim.jpg,50,1998-10-03T00:00:00.000Z
-92.016646671602288,30.215911434878258,4,1049,POLLINGUE-BROWN-TOWN HOUSE,323 E UNIVERSITY AVE,ECLECTIC,CIRCA 1927,POLLINGUE-BROWN-TOWN_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/049-Pollingue-BrownTownhouse.jpg,49,1998-10-07T00:00:00.000Z
-92.023118962961135,30.220683847536076,5,1048,HAMILTON HOUSE,100 HAMILTON PL,AMERICAN BUNGALOW,CIRCA 1920,HOUSE_OF_A_NET,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/048-HamiltonHouse.jpg,48,1998-10-07T00:00:00.000Z
-92.031538461509967,30.210346987680797,6,1047,WHITTINGTON-GUENIERE HOUSE,2250 JOHNSTON ST,COLONIAL REVIVAL,1915,WHITTINGTON-GUENIERE_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/047-WhittingtonGueniere.jpg,47,1997-12-03T00:00:00.000Z
-92.131646534351717,30.13816756504912,7,1045,FREDRICK TOLSON HOUSE,840 BOURQUE RD,COLONIAL REVIVAL,CIRCA 1905,FREDERICK_TOLSON_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/045-DrFredrickTolsonHouse.jpg,45,1997-04-02T00:00:00.000Z
-92.009816210976695,30.232807907531651,8,1041,HANLEY-GUENO HOUSE,406 N STERLING ST,AMERICAN FOURSQUARE,CIRCA 1900,HANLEY-GUENO_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/041-HanleyGuenoHouse.jpg,41,1996-04-03T00:00:00.000Z
-92.014884189443919,30.213829585458743,9,1040,ELOI GIRARD HOUSE,500 E UNIVERSITY AVE,ENGLISH TUDOR REVIVAL,1935,GIRARD_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/040-EloiGirardHouse.jpg,40,1995-11-01T00:00:00.000Z
-92.010502902775897,30.233187490215808,11,1044,BARRIOS HOUSE,411 N STERLING ST,QUEEN ANNE REVIVAL,CIRCA 1902,BARRIOS_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/044-BarriosHouse.jpg,44,1996-09-04T00:00:00.000Z
-92.026214181969223,30.217333015003323,12,1043,SAINT MARY'S ORPHANAGE,605 W SAINT MARY BLVD,SPANISH REVIVAL,CIRCA 1925,ST_MARYS_ORPHANAGE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/043-SaintMarysOrphanage.jpg,43,1996-09-04T00:00:00.000Z
-92.008044768367029,30.232919938145066,13,1039,NP MOSS SCHOOL,801 MUDD AVE,JACOBEAN REVIVAL,1925,N_P_MOSS_SCHOOL,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/039-NPMossSchool.jpg,39,1995-05-03T00:00:00.000Z
-92.022629677206709,30.219337714309454,14,1038,MARTIN HOUSE,112 DUNREATH ST,MODIFIED QUEEN ANNE REVIVAL,1907,MARTIN_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/038-MartinHouse.jpg,38,1995-05-03T00:00:00.000Z
-92.01917896242189,30.23151846295724,15,1036,WALTER FRANKLIN MILLS HOUSE,312 S PIERCE ST,AMERICAN FOURSQUARE,1910,312_S_PIERCE_STREET,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/036-213SPierceStreet.jpg,36,1994-10-05T00:00:00.000Z
-92.019222328118133,30.231781941680516,16,1035,JEANMARD HOUSE,306 S PIERCE ST,QUEEN ANNE REVIVAL,1907,JEANMARD_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/035-JeanmardHouse.jpg,35,1994-10-05T00:00:00.000Z
