X	Y	OBJECTID	ID	NAME	ADDRESS	ARCH_TYPE	CONST_DATE	PHOTOS	SDE_PHOTOS	NUM_ON_REGISTER	DESIGNATION_DATE
-92.01901646	30.15152847	1	1051	WHITFIELD HOUSE	305 FAILLA RD	FRENCH CREOLE	CIRCA 1910	WHITFIELD_HOUSE	http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/051-Whitfield.jpg	51	2000-06-07T00:00:00.000Z
-92.02000619	30.22388257	2	1052	POCHÉ BUILDING	203 W VERMILION ST	COMMERCIAL VERNACULAR	1920	POCHE_BUILDING	http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/052-PocheBuilding.jpg	52	2000-06-27T00:00:00.000Z
-92.02545228	30.22500047	3	1050	GRÖHEIM	204 VERSAILLES BLVD	NORMANDY REVIVAL	1927	GROHEIM	http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/050-Groheim.jpg	50	1998-10-03T00:00:00.000Z
-92.01664667	30.21591143	4	1049	POLLINGUE-BROWN-TOWN HOUSE	323 E UNIVERSITY AVE	ECLECTIC	CIRCA 1927	POLLINGUE-BROWN-TOWN_HOUSE	http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/049-Pollingue-BrownTownhouse.jpg	49	1998-10-07T00:00:00.000Z
-92.02311896	30.22068385	5	1048	HAMILTON HOUSE	100 HAMILTON PL	AMERICAN BUNGALOW	CIRCA 1920	HOUSE_OF_A_NET	http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/048-HamiltonHouse.jpg	48	1998-10-07T00:00:00.000Z
-92.03153846	30.21034699	6	1047	WHITTINGTON-GUENIERE HOUSE	2250 JOHNSTON ST	COLONIAL REVIVAL	1915	WHITTINGTON-GUENIERE_HOUSE	http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/047-WhittingtonGueniere.jpg	47	1997-12-03T00:00:00.000Z
-92.13164653	30.13816757	7	1045	FREDRICK TOLSON HOUSE	840 BOURQUE RD	COLONIAL REVIVAL	CIRCA 1905	FREDERICK_TOLSON_HOUSE	http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/045-DrFredrickTolsonHouse.jpg	45	1997-04-02T00:00:00.000Z
-92.00981621	30.23280791	8	1041	HANLEY-GUENO HOUSE	406 N STERLING ST	AMERICAN FOURSQUARE	CIRCA 1900	HANLEY-GUENO_HOUSE	http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/041-HanleyGuenoHouse.jpg	41	1996-04-03T00:00:00.000Z
-92.01488419	30.21382959	9	1040	ELOI GIRARD HOUSE	500 E UNIVERSITY AVE	ENGLISH TUDOR REVIVAL	1935	GIRARD_HOUSE	http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/040-EloiGirardHouse.jpg	40	1995-11-01T00:00:00.000Z
-92.0105029	30.23318749	11	1044	BARRIOS HOUSE	411 N STERLING ST	QUEEN ANNE REVIVAL	CIRCA 1902	BARRIOS_HOUSE	http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/044-BarriosHouse.jpg	44	1996-09-04T00:00:00.000Z
