2/19/2015	2/26/2015	3/5/2015	3/19/2015	3/26/2015	4/2/2015	4/9/2015	2/11/2016	2/18/2016	2/25/2016	3/3/2016	3/10/2016	3/17/2016	3/31/2016	2/23/2017	3/2/2017	3/9/2017	3/16/2017	3/23/2017
Acadiana-Crawfish-Express	 29.50 	 29.50 	 29.50 	 26.00 	 26.00 	 26.00 	 26.00 	 28.99 	 28.99 	 28.99 	 28.99 	 23.99 	 23.99 	 23.99 	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	0
Acadiana-Seafood-Depot	 30.00 	 30.00 	 25.00 	 25.00 	 20.00 	 25.00 	 20.00 	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0
A-Cajun-Crawfish-House	 32.00 	 32.00 	 32.00 	 28.00 	  0.0    	 28.00 	 25.00 	 28.00 	 28.00 	 28.00 	 28.00 	 28.00 	 28.00 	 20.00 	 29.00 	 21.00 	 21.00 	 21.00 	 21.00
The-Boilin-Spot	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    		 19.99 	 21.99 	 22.50 	 22.50
Bucks-Crawfish	  0.0    	 32.49 	 32.49 	 28.99 	 28.99 	 28.99 	 24.99 	 29.99 	 32.54 	 29.99 	 30.00 	 29.99 	 29.99 	 24.99 	 25.00 	 25.00 	 25.00 	 25.00 	 25.00
Cooyons-Cajun-Station	  0.0    	 33.00 	 32.00 	 25.00 	 25.00 	 25.00 	 22.00 	 25.99 	  0.0    	 24.99 	 22.50 	  0.0    	  0.0    	 17.50 	  0.0    	  0.0    	  0.0    	  0.0    	  0.0
Crawdaddys	  0.0    	  0.0    	 30.00 	 26.99 	 26.99 	 26.99 	 26.99 	 29.99 	 29.99 	 29.99 	 26.99 	 26.99 	 26.99 	 19.99 	 24.99 	 24.99 	 22.99 	  0.0    	  0.0
Chops-Specialty-Meats	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	 27.99 	 27.99 	 27.99 	 24.99
Crawfish-Corner	  0.0    	  0.0    	  0.0    	 22.45 	 22.45 	 22.45 	  0.0    	 24.95 	 24.95 	 24.95 	 22.45 	 22.45 	 22.45 	 19.95 	 17.45 	 19.45 	 19.45 	 14.95 	 14.95
Crawfish-Culture	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	 19.00 	 19.00 	 19.00 	 19.00
Crawfish-Hole-(Verot)	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	 29.99 	 29.99 	 29.99 	 26.99 	 26.99 	 26.99 	 26.99 	 26.99 	 26.99 	 26.99 	 26.99 	 26.99
Crawfish-Shak-2	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	 26.00 	 26.00 	 26.00 	 25.00 	 25.00
Crawfish-Shed	 28.50 	 28.50 	 28.50 	 26.00 	 26.00 	 26.00 	 25.00 	 27.99 	 27.99 	 27.99 	 25.99 	 25.99 	 23.99 	 22.99 	 26.00 	 25.00 	 25.00 	 20.00 	 20.00
Crawfish-Spot	 35.00 		 35.00 	 30.00 	 30.00 	 31.00 	 28.75 	 29.57 	 29.57 	 29.57 	 29.57 	 27.30 	 27.30 	 22.75 	 23.95 	 23.95 	 23.95 	 23.95 	 23.95
Crawfish-Time-(Ridge)	 36.99 	 36.99 	 33.99 	 30.00 	 30.00 	 29.99 	 28.99 	 31.99 	 29.99 	 29.99 	 29.99 	 28.99 	 27.99 	 25.99 	 27.99 	 27.99 	 27.99 	 27.99 	 26.99
Crawfish-Time-Inc.-(Moss)	 33.79 	 33.79 	 29.53 	 27.78 	 27.78 	 27.99 	 24.99 	 28.70 	 28.70 	 28.70 	 26.85 	 26.85 	 26.85 	 22.92 	 24.99 	 24.99 	 24.99 	 24.99 	 24.99
Daiquiri-Depo	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	 21.00 	 21.00 	 21.00 	 21.00 	 21.00 	  0.0    	 19.00 	 19.00 	 16.50 	 16.50 	 16.50
Dax	 36.99 	 34.99 	 34.99 	 27.99 	 27.00 	 30.99 	 25.99 	 32.99 	 32.99 	 32.99 	 30.99 	 27.99 	 27.99 	 25.99 	 28.99 	 28.99 	 28.99 	 28.99 	 28.99
Dwights	 38.50 	 38.50 	 36.00 	 34.00 	 34.00 	 34.00 	 29.95 	 34.00 	 34.00 	 34.00 	 31.50 	 31.50 	 31.50 	 26.95 	 29.00 	 29.00 	 29.00 	 29.00 	 29.00
Fricassee-Cafe	  0.0    	  0.0    	  0.0    	 33.50 	 31.50 	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0
Fezzos	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	 28.99 	 28.99 	 28.99 	 28.99
Gator-Cove	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	 32.99 	 27.99 	 27.99 	 27.99 	 25.99 	 29.99 	 29.99 	 29.99 	 29.99 	 29.99
Grandaddys-Crawfish	  0.0    	 30.00 	 30.00 	 28.00 	  0.0    	  0.0    	 25.00 	 29.00 	 29.00 	 29.00 	 29.00 	 27.00 	 27.00 	 23.00 	 29.00 	 26.39 	 26.99 	 26.99 	 26.99
Guidrys-Seafood	 29.99 	  0.0    	 28.99 	 25.99 	 24.00 	 25.99 	 22.99 	 23.99 	 23.99 	 23.99 	 23.99 	 22.50 	 21.50 	 17.50 	 21.99 	 21.99 	 21.99 	 21.99 	 19.99
Heberts-Hotspot	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	 26.99 	 26.99
Hook-&-Boil	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	 29.99 	 29.99 	 29.99 	 29.99
Hookd-Up-Bar-&-Grill	  0.0    	 31.00 	 31.00 	 28.00 	 26.00 	 28.00 	 26.00 	 32.99 	 32.99 	 32.99 	 32.99 	 32.99 	 30.00 	 25.00 	 25.00 	 25.00 	 25.00 	 25.00 	 25.00
Krazy-Klaws	 36.25 	  0.0    	 36.25 	 30.99 	 30.99 	 28.99 	 28.00 	 26.99 	 26.99 	 26.99 	 26.99 	 25.00 	 25.00 	 22.99 	 26.99 	 26.99 	 26.99 	 26.99 	 26.99
Lagneauxs	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	 25.95 	 21.95 	 21.95 	 24.95 	 24.95 	 24.95 	 24.95 	 24.95
LeJeunes-Boil-N-Go	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	 24.95 	 24.95 	 24.95 	 24.95 	 22.50
Louisiana-Crawfish-Time-(Verot)	 36.99 	 36.99 	 36.99 	 31.99 	 31.99 	 31.99 	 29.99 	 31.99 	 31.99 	 31.99 	 29.99 	 29.99 	 29.99 	 25.99 	 29.99 	 29.99 	 29.99 	 29.99 	 29.99
LTS-Seafood	 36.95 	 36.95 	 36.95 	 30.99 	 30.99 	 30.99 	 28.99 	 32.95 	 32.95 	 32.95 	 29.95 	 29.95 	 29.95 	 25.95 	 32.95 	 29.99 	 29.99 	 29.99 	 29.95
Randols	 35.00 	 35.00 	  0.0    	 30.00 	 30.00 	 30.00 	 25.00 	 32.50 	 32.50 	 32.50 	 32.50 	 29.95 	 29.95 	 25.00 	 29.99 	 30.00 	 30.00 	 30.00 	 30.00
Romeros-Grocery	  0.0    	  0.0    	  0.0    	 24.00 	 25.00 	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0
Straws-&-Claws	 35.99 	  0.0    	 35.99 	 31.99 	 31.99 	 31.99 	 26.25 	 26.25 	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0    	  0.0
